#   ix    iy    iz      toten(eV)
    10    26     0     -20038.873869974301
    11    26     0     -20038.860879394564
    12    26     0     -20038.858547242708
    13    26     0     -20038.868652735218
    14    26     0     -20038.884671670130
    15    26     0     -20038.896354334585
    16    26     0     -20038.896355014873
    17    26     0     -20038.884667588423
    18    26     0     -20038.868644707858
    19    26     0     -20038.858544657625
    20    26     0     -20038.860866605213
    21    26     0     -20038.873872695443
    22    26     0     -20038.889182229512
    23    26     0     -20038.897840620502
    24    26     0     -20038.895305335645
    25    26     0     -20038.883546207195
    26    26     0     -20038.869967045172
    27    26     0     -20038.863424883693
    28    26     0     -20038.868570828945
    29    26     0     -20038.882475167033
    30    26     0     -20038.896877201376
    31    26     0     -20038.903711885258
     0    27     0     -20038.902759078570
     1    27     0     -20038.903540317464
     2    27     0     -20038.904374210397
     3    27     0     -20038.904240466436
