#   ix    iy    iz      toten(eV)
    20    21     0     -20040.990912286761
    21    21     0     -20041.036311219344
    22    21     0     -20041.071852283036
    23    21     0     -20041.091280668588
    24    21     0     -20041.093934459033
    25    21     0     -20041.084244620444
    26    21     0     -20041.071207645295
    27    21     0     -20041.065607269891
    28    21     0     -20041.073080060782
    29    21     0     -20041.090412217196
    30    21     0     -20041.108549014301
    31    21     0     -20041.119098188461
     0    22     0     -20041.142919988379
     1    22     0     -20041.125566743143
     2    22     0     -20041.092974441326
     3    22     0     -20041.062199996162
     4    22     0     -20041.051024143777
     5    22     0     -20041.065871356397
     6    22     0     -20041.096769613367
     7    22     0     -20041.124183860495
     8    22     0     -20041.131033238526
     9    22     0     -20041.110534901265
    10    22     0     -20041.067959286062
    11    22     0     -20041.018057957510
    12    22     0     -20040.978371375182
    13    22     0     -20040.959316601962
    14    22     0     -20040.958256446356
    15    22     0     -20040.963053405576
    16    22     0     -20040.963055718545
    17    22     0     -20040.958278895749
    18    22     0     -20040.959308302492
    19    22     0     -20040.978398042338
    20    22     0     -20041.018082719871
    21    22     0     -20041.067972755696
    22    22     0     -20041.110551364156
    23    22     0     -20041.131044939422
    24    22     0     -20041.124198690701
    25    22     0     -20041.096800090116
    26    22     0     -20041.065883465461
    27    22     0     -20041.051026456742
    28    22     0     -20041.062218091734
    29    22     0     -20041.092985597992
    30    22     0     -20041.125574226273
    31    22     0     -20041.142911416795
     0    23     0     -20041.139421284392
     1    23     0     -20041.117615440024
     2    23     0     -20041.076143790760
     3    23     0     -20041.037430559718
     4    23     0     -20041.024409367172
     5    23     0     -20041.045299684451
     6    23     0     -20041.087194062602
     7    23     0     -20041.125244152161
     8    23     0     -20041.138138811759
     9    23     0     -20041.118611376762
    10    23     0     -20041.075613712957
    11    23     0     -20041.029543611527
    12    23     0     -20041.001359010053
    13    23     0     -20040.999842519497
    14    23     0     -20041.016353436276
    15    23     0     -20041.031958486004
    16    23     0     -20041.031961615310
    17    23     0     -20041.016357381926
    18    23     0     -20040.999846465151
    19    23     0     -20041.001380779166
    20    23     0     -20041.029541842789
    21    23     0     -20041.075611127875
    22    23     0     -20041.118614778185
    23    23     0     -20041.138140444444
    24    23     0     -20041.125253948256
    25    23     0     -20041.087205763499
    26    23     0     -20041.045307167580
    27    23     0     -20041.024448687625
    28    23     0     -20041.037428654919
    29    23     0     -20041.076129504781
    30    23     0     -20041.117609997749
    31    23     0     -20041.139426182443
     0    24     0     -20041.120150588828
     1    24     0     -20041.097512892382
     2    24     0     -20041.054878908752
     3    24     0     -20041.015468794110
     4    24     0     -20041.002883255856
     5    24     0     -20041.025242035590
     6    24     0     -20041.069287201710
     7    24     0     -20041.109565903804
     8    24     0     -20041.124604004301
     9    24     0     -20041.107891315092
    10    24     0     -20041.069869933548
    11    24     0     -20041.032369241879
    12    24     0     -20041.016140915348
    13    24     0     -20041.027607793512
    14    24     0     -20041.054996053768
    15    24     0     -20041.076724753857
    16    24     0     -20041.076721352434
    17    24     0     -20041.054987482181
    18    24     0     -20041.027618950182
    19    24     0     -20041.016148942708
    20    24     0     -20041.032383527858
    21    24     0     -20041.069868845090
    22    24     0     -20041.107880294483
    23    24     0     -20041.124605228812
    24    24     0     -20041.109576380190
    25    24     0     -20041.069286657483
    26    24     0     -20041.025253872544
    27    24     0     -20041.002867609306
    28    24     0     -20041.015474372442
    29    24     0     -20041.054870609278
    30    24     0     -20041.097507586157
    31    24     0     -20041.120152629679
     0    25     0     -20041.102432030730
     1    25     0     -20041.083375488768
     2    25     0     -20041.048305318116
     3    25     0     -20041.016234658575
     4    25     0     -20041.006257195637
     5    25     0     -20041.025191014243
     6    25     0     -20041.061945161531
     7    25     0     -20041.095833677733
     8    25     0     -20041.109337328158
     9    25     0     -20041.097340916418
    10    25     0     -20041.069079034605
    11    25     0     -20041.042850387574
    12    25     0     -20041.035410930632
    13    25     0     -20041.051058021949
    14    25     0     -20041.078713089850
    15    25     0     -20041.099496874551
    16    25     0     -20041.099496602437
    17    25     0     -20041.078712681679
    18    25     0     -20041.051050946990
    19    25     0     -20041.035410658518
    20    25     0     -20041.042849571233
    21    25     0     -20041.069066925538
    22    25     0     -20041.097336290484
    23    25     0     -20041.109328620514
    24    25     0     -20041.095828235459
    25    25     0     -20041.061959447510
    26    25     0     -20041.025169245135
    27    25     0     -20041.006281685881
    28    25     0     -20041.016219692308
    29    25     0     -20041.048319195925
    30    25     0     -20041.083364332102
    31    25     0     -20041.102442507108
     0    26     0     -20041.096377633345
     1    26     0     -20041.084724629298
     2    26     0     -20041.064260850500
     3    26     0     -20041.045672616496
     4    26     0     -20041.040125983582
     5    26     0     -20041.051636263906
     6    26     0     -20041.073935042539
     7    26     0     -20041.094901007469
     8    26     0     -20041.104179818063
     9    26     0     -20041.098697131907
    10    26     0     -20041.083735087239
    11    26     0     -20041.070147217575
    12    26     0     -20041.068002960339
    13    26     0     -20041.079754877774
    14    26     0     -20041.098352363642
    15    26     0     -20041.112017921816
    16    26     0     -20041.112043636578
    17    26     0     -20041.098382296172
    18    26     0     -20041.079754605660
    19    26     0     -20041.068004048790
    20    26     0     -20041.070155653102
    21    26     0     -20041.083722161831
    22    26     0     -20041.098674410401
    23    26     0     -20041.104173287335
    24    26     0     -20041.094879510474
    25    26     0     -20041.073938443962
    26    26     0     -20041.051623610616
    27    26     0     -20041.040115371143
    28    26     0     -20041.045678875118
    29    26     0     -20041.064257585134
    30    26     0     -20041.084723404787
    31    26     0     -20041.096349333504
     0    27     0     -20041.098215082202
     1    27     0     -20041.095845786804
     2    27     0     -20041.093057572110
     3    27     0     -20041.090506096480
